ANID;SITE;MUNICIPALITY;REGION;UE;CHRONOLOGY;TYPOLOGY;TYPOLOGY.2;FORM;GROUP;FAMILY;PROJECT;Cronologia_desde;Cronologia_hasta;Al;As;Ba;Ca;Ce;Co;Cr;Cs;Dy;Eu;Fe;Hf;K;La;Lu;Mn;Nd;Na;Rb;Sb;Sc;Sm;Sr;Ta;Tb;Th;Ti;U;V;Yb;Zn;Zr
ELS001;Ollerias;Elosu;The Basque Country;NA;1941-1960;Lead glazed with slip;Basque Postwar Pottery;Plate;ELS_B;Tableware;PhD;1941;1960;87466.9;9.6;358.7;47334.1;80.7;44.2;71.1;13.3;4.9;1.1;33715.7;6.4;23580.3;39.4;0.4;257;31.7;6431.2;167.5;1.5;12.6;6.7;303.3;2.1;0.8;15.4;5294.7;4.2;85;2.9;80.7;181.3
ELS006;Ollerias;Elosu;The Basque Country;NA;1941-1960;Tin lead glazed ;Basque Postwar Pottery;Bowl;ELS_B;Household;PhD;1941;1960;89822.3;12;426.4;56947.9;81.3;56.2;73.3;14.5;4.8;1.1;35138.7;6.7;22034.7;40;0.4;243.5;31.3;6642.1;172.5;1.2;12.5;6.8;377.9;2.2;0.8;15.7;4969.2;4.3;85.2;3;80.1;175
ELS007;Ollerias;Elosu;The Basque Country;NA;1941-1960;Lead glazed with slip;Basque Postwar Pottery;Flowerpot;ELS_B;Tableware;PhD;1941;1960;89174.2;9.5;368.4;110886.1;72.5;23.1;66.1;14.3;4.1;1;34040.8;5.6;20392.7;36.3;0.3;200.4;31.1;5552.6;159.4;1;11.7;5.8;548.8;1.7;0.7;14.2;3723.9;3.9;80.4;2.4;66.7;146.8
ELS009;Ollerias;Elosu;The Basque Country;NA;1941-1960;Tin lead glazed ;Basque Postwar Pottery;Flowerpot;ELS_B;Household;PhD;1941;1960;74872.9;11.8;351.2;73249.2;69.9;26.4;53.1;11.7;4.7;1;28708;7;19215.7;34.3;0.4;182.6;30.4;6005.6;141.6;1;10.9;6.1;751.7;2;0.8;13.7;4615.3;4.3;64.2;2.6;81.6;203.2
ELS046;Ollerias;Elosu;The Basque Country;NA;1700-1960;Lead glazed with slip;Basque Postwar Pottery;Bowl;ELS_A;Household;PhD;1700;1960;88392.8;8.5;412.6;80604.2;86.4;78.3;75;15.7;5.2;1.2;34684.2;7.1;22720.5;41.6;0.4;176.2;35.6;5791.3;183.6;1.3;12.8;7.1;449.3;2.1;0.8;16.1;4850.5;3.4;82.5;3.1;87.7;179
ELS048;Ollerias;Elosu;The Basque Country;NA;1941-1960;Lead glazed with slip;Basque Postwar Pottery;Plate;ELS_B;Tableware;PhD;1941;1960;91690.9;10;399.8;50304.5;81.2;47.6;70.9;13.5;5;1.1;33860.5;6.6;23120;38.9;0.4;256.1;35.1;6479.7;168.5;1.4;12.6;6.7;381.8;2.2;1;15.5;5115.6;4.1;85.6;2.8;74;197.4
ELS049;Ollerias;Elosu;The Basque Country;NA;1700-1936;Tin lead glazed ;Traditional Basque Pottery;Bowl;ELS_A;Household;PhD;1700;1936;93070.9;6.1;466.8;39357.9;91.5;74.6;76.2;14.6;5.6;1.2;31423.6;7.5;25871.6;43.3;0.4;126;39;5583.2;183.4;1.4;12.7;7;405.1;2.4;0.8;17.1;4814.7;4.9;80.1;3.1;93.5;186.1
ELS050;Ollerias;Elosu;The Basque Country;NA;1700-1960;Uncoated;Kiln utensil;Kiln Utensil;ELS_A;Kiln Utensil;PhD;1700;1960;92473.4;7.8;452.5;50515.5;87.2;70.1;74.6;14.8;5.3;1.2;33267.6;7.3;23687.1;42.1;0.4;147.5;35;5767.5;172.6;1.1;13.1;7.3;405.4;2;0.9;16.2;5763.7;4.4;74.3;3.1;92.1;213.3
ELS051;Ollerias;Elosu;The Basque Country;NA;1700-1960;Uncoated;Kiln utensil;Kiln Utensil;ELS_A;Kiln Utensil;PhD;1700;1960;86810.6;7;420.6;65462.6;85.4;81.9;71.4;13.4;5;1;31559.1;8.1;21254;41.1;0.4;145.4;34.2;6656.9;162.2;1.5;11.8;6.4;368.9;2.2;1;16.2;5194;4.8;86.7;3.1;70.8;230.3
DUR001;Durango;Durango;The Basque Country;NA;1900-1960;Tin lead glazed ;Non assigned;Bowl;"DUR";Household?;PhD;1900;1960;83521.1;9.4;435.8;61925.5;75.7;76.5;68.2;11.4;5;1.1;32794.3;7.3;23058.6;38.9;0.4;467.3;29.8;4505;150.8;1.3;11.9;6.1;194.1;2.1;0.9;13.2;5061.6;3.5;76.3;2.9;85.5;172.9
