ANID;n;Typology;GoupCode_Tipo;Calcareous;CG;Chronology;Site;GroupCode_Site;Form;Al2O3;P2O5;Rb;Sr;Pb;Sn;Zr;Nb;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;Th;U;Na2O;MgO;SiO2;K2O;CaO;TiO2;V;Cr;MnO;Fe2O3;Co;Ni;Cu;Zn
LOG001;1;otro;Hospital Viejo;A;A;1290-1350;UE277;A;Jarro;38,193;1,013;142;488;93,1;5,34;177;19,6;19,1;690;54;112;11,52;44,42;8,75;1,78;8,41;1,03;5,55;0,95;2,81;0,49;2,76;0,42;2,62;1,2;11,38;2,97;0,73;1,99;45,5;3,26;7,918;0,803;146;109;0,037;7,32;17,1;54;73;76
LOG002;2;otro;Hospital Viejo;A;A;1290-1350;UE277;A;Jarro;42,774;0,388;144;521;73,7;5,47;205;21,1;18,2;566;57,4;119;12,35;47,26;9,31;1,81;9,36;1,06;5,77;1,03;3,02;0,52;2,97;0,44;2,91;1,29;12,46;3,07;0,83;2,27;46,7;3,29;8,843;0,849;139;111;0,04;8,18;23,2;59;28;83
LOG003;3;otro;Hospital Viejo;A;A;1290-1350;UE277;A;Jarro;43,575;0,709;153;526;54,5;5,61;190;21;20,9;640;57,9;120;12,33;48,2;9,4;1,84;9,43;1,06;5,8;1,04;3,03;0,51;3,04;0,41;2,76;1,28;12,03;3,12;0,61;2,11;42,9;3,14;8,069;0,799;132;103;0,039;7,66;19,6;61;23;73
LOG004;4;otro;Hospital Viejo;A;A;1290-1350;UE277;A;Jarro;33,924;0,53;139;465;45,3;5,54;206;19,7;19;573;53,2;110;11,46;44,54;8,87;1,67;8,73;0,98;5,45;1,01;2,86;0,52;3,01;0,41;2,89;1,2;10,22;2,91;0,68;1,91;49,3;3,29;7,592;0,854;140;103;0,046;7,82;23,2;70;24;86
LOG005;5;otro;Hospital Viejo;A;A;1290-1350;UE277;A;Jarro;42,424;0,445;142;612;96,3;5,58;190;20,9;15,4;594;57,9;120;12,41;48,09;9,7;1,77;9,38;1,04;5,95;1,11;2,96;0,54;3,13;0,44;2,71;1,26;10,65;3,08;0,67;2,09;41,8;3,04;9,721;0,786;133;95;0,036;7,25;17,7;72;21;84
LOG006;6;otro;Hospital Viejo;A;A;1290-1350;UE277;A;Jarro;38,488;0,479;146;438;37;5,47;177;20,1;19,1;569;55,6;115;11,81;46,01;9,25;1,71;8,71;0,97;5,66;1,04;2,78;0,49;3,07;0,43;2,4;1,18;9,86;2,97;0,7;1,85;43,1;3,42;9,219;0,852;143;97;0,037;7,55;19,3;101;12;109
LOG007;7;otro;Hospital Viejo;A;A;1290-1350;UE277;A;Botija;39,153;0,34;154;526;86;5,26;175;19,1;22,8;555;56,1;116;11,9;46,36;9,47;1,78;8,92;1,01;5,55;1,05;2,78;0,48;2,95;0,43;2,54;1,22;9,88;3,04;0,73;2,35;45,6;3,38;10,358;0,832;144;106;0,045;7,84;26,4;92;13;99
LOG008;8;otro;Hospital Viejo;A;A;1290-1350;UE277;A;Olla;15,546;0,091;117;26;33,5;5,53;357;16,3;34,2;442;42,8;89;9,48;38,15;8,47;1,6;8,76;1,08;6,37;1,24;3,34;0,61;3,53;0,49;4,86;1,1;8,46;2,25;0,6;0,65;54,6;1,93;2,113;0,742;71;58;0,001;4,63;19,6;49;16;84
LOG009;9;otro;Hospital Viejo;A;A;1290-1350;UE277;A;Cantarilla;13,9;0,403;111;1158;119,4;4,55;189;14,6;12,3;392;34,1;70;7,19;28,76;5,67;1,11;5,62;0,68;3,89;0,75;2,04;0,35;2,14;0,29;2,76;0,97;6,85;2,38;1,03;1,76;37,8;2,67;19,807;0,57;69;62;0,02;4,14;13,6;42;13;94
LOG015;10;otro;Hospital Viejo;A;A;1290-1350;UE317;A;Olla;44,05;0,45;167;491;68,8;6,43;214;21,6;22,7;625;63,1;131;13,23;52,49;10,52;1,92;9,98;1,11;6,23;1,13;3,28;0,55;3,45;0,46;3,27;1,25;10,65;3,41;0,72;2,24;41,5;3,12;7,609;0,807;138;104;0,039;7,57;19,7;74;25;129
