23/7/14;GRUPO;Al2O3;P2O5;Na2O;MgO;SiO2;K2O;CaO;TiO2;MnO;Fe2O3;Rb;Sr;Pb;Sn;Zr;Nb;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;Th;U;V;Cr;Co;Ni;Cu;Zn
MJ0313;Sevilla;138363,5;-2001,5;8371,8;32931,1;607755,8;26052,1;217648,1;6810,7;588,4;53231,4;113,6;547,1;2041,5;19,3;184,2;17,7;6,5;369,8;38,9;76,6;9,0;34,0;6,6;1,2;6,0;0,9;5,1;0,7;2,5;0,5;2,9;0,5;4,7;1,7;11,1;3,2;83,3;142,9;0,4;9,4;-121,2;105,9
MJ0314;Sevilla;129135,7;-3626,6;8558,5;30190,4;667437,9;28997,3;218863,7;7074,9;595,8;54242,1;111,7;534,8;811,3;17,4;202,6;17,0;6,1;378,3;37,4;72,7;8,6;32,3;6,4;1,2;5,7;0,9;4,7;0,7;2,4;0,4;2,7;0,5;4,9;1,6;11,2;3,0;74,5;87,2;-0,6;-3,1;-312,3;109,8
MJ0315;Sevilla;136246,5;-3550,5;9738,5;35749,1;655275,1;19857,5;225435,3;7167,8;624,8;54373,9;80,6;545,0;1849,2;11,3;197,3;18,0;5,3;383,1;39,4;76,7;9,0;33,6;6,8;1,3;6,1;0,9;5,1;0,8;2,5;0,5;2,8;0,5;4,9;1,7;11,7;3,3;100,9;220,4;-0,7;13,6;1536,8;75,2
MJ0316;Sevilla;125916,1;-1940,3;8004,3;30694,2;665534,2;23381,6;244352,7;7187,5;808,0;55759,2;89,0;453,0;1243,4;90,5;182,9;16,4;5,4;454,6;35,8;70,3;8,2;30,9;6,5;1,1;5,6;0,8;4,8;0,8;2,5;0,4;2,7;0,4;4,6;1,6;10,4;3,2;76,7;104,5;0,5;73,1;188,9;112,1
MJ0317;Sevilla;130693,9;-4161,4;5868,4;63569,0;678095,0;21147,1;195729,3;6954,5;777,8;55829,4;60,0;506,5;1266,8;61,9;169,9;16,9;3,7;458,5;38,0;73,7;8,8;32,8;6,4;1,2;5,8;0,8;4,9;0,7;2,3;0,5;2,7;0,5;4,3;1,6;11,0;3,1;75,6;105,5;1,6;12,6;67,9;74,8
MJ0318;Sevilla;110084,8;-3532,7;8962,1;28597,8;650862,6;16118,0;224207,1;6950,7;921,8;47971,1;83,4;415,0;1283,6;76,4;167,8;13,9;5,7;438,2;32,5;64,7;7,6;28,8;5,7;1,1;5,4;0,8;4,6;0,7;2,2;0,5;2,6;0,5;4,3;1,4;9,5;2,7;81,4;98,5;3,9;7,4;40,1;72,0
MJ0319;Sevilla;143557,4;16771,6;10248,9;34159,2;642546,4;16961,8;255409,1;6991,9;872,6;56949,7;105,8;528,7;1354,3;11,8;153,4;17,1;6,4;484,7;38,0;74,4;9,0;32,7;6,5;1,3;5,9;0,8;4,8;0,7;2,4;0,5;2,6;0,5;4,2;1,7;11,5;3,4;78,6;131,5;1,8;5,8;53,1;92,0
MJ0320;Sevilla;119746,1;7034,9;8599,0;28923,8;704349,0;21012,2;234539,3;7255,5;889,3;51802,5;94,4;428,8;1291,6;39,9;164,5;17,0;4,9;488,9;36,0;71,6;8,5;32,3;6,4;1,2;5,7;0,8;4,8;0,8;2,4;0,5;2,7;0,5;4,4;1,7;10,4;3,2;74,9;162,8;2,4;17,4;36,4;73,6
MJ0321;Sevilla;125473,3;1903,1;3225,6;30012,6;467230,6;19147,6;260733,2;6199,2;843,6;51787,1;69,9;482,7;2735,7;21,9;181,3;13,7;2,6;474,7;32,7;63,1;8,2;29,9;5,9;1,2;5,2;0,7;4,3;0,9;2,2;0,4;2,6;0,4;4,8;1,1;9,5;2,9;73,5;60,2;13,6;34,0;79,6;66,4
MJ0322;Sevilla;109729,1;1559,2;7099,7;25955,9;529880,8;11976,0;198220,8;6629,6;891,9;43965,8;77,6;394,3;1875,4;24,0;241,0;13,9;2,9;389,5;31,7;62,4;7,9;29,0;5,5;1,1;5,2;0,7;4,6;1,0;2,3;0,5;2,7;0,4;6,1;1,2;9,6;2,6;68,3;72,0;14,6;31,8;66,1;59,5
