Major;ppm;Oxide;Conversion_Factor
Al;Al;Al2O3;0.529251
;As;As2O3;0.7574
;Au;Au2O;0.961
;B;B2O3;0.310551
;Ba;BaO;0.89566
;Be;BeO;0.36032
;C;CO2;0.272916
Ca;Ca;CaO;0.714701
;Ce;CeO2;0.814089
;Ce;Ce2O3;0.85377
;Co;CoO;0.786483
;Cr;Cr2O3;0.684202
;Cs;Cs2O;0.943226
;Cu;CuO;0.798865
;Dy;Dy2O3;0.871318
;Er;Er2O3;0.87452
;Eu;EuO;0.904742
;Eu;Eu2O3;0.86361
;Fe;FeO;0.777311
Fe;Fe;Fe2O3;0.699433
;Ga;Ga2O3;0.743925
;Gd;Gd2O3;0.867591
;Ge;GeO2;0.694051
;H;H2O;0.111694
;Hf;HfO2;0.847979
;Ho;Ho2O3;0.872973
K;K;K2O;0.830147
;La;La2O3;0.85268
;Li;Li2O;0.46457
;Lu;Lu2O3;0.879383
Mg;Mg;MgO;0.603036
;Mn;MnO;0.774457
Mn;Mn;MnO2;0.63193
;Mn;Mn3O4;0.720304
;Mo;MoO3;0.6665
Na;Na;Na2O;0.741857
;Nb;Nb2O5;0.699044
;Nd;Nd2O3;0.857351
;Ni;NiO;0.785845
P;P;P2O5;0.436421
;Pb;PbO;0.928318
;Pr;Pr2O3;0.854469
;Rb;Rb2O;0.914412
;S;SO3;0.400459
;Sb;Sb2O3;0.83534
;Sc;Sc2O3;0.65196
Si;Si;SiO2;0.467439
;Sm;Sm2O3;0.86239
;Sn;SnO2;0.78765
;Sr;SrO;0.845595
;Ta;Ta2O5;0.818967
;Tb;Tb2O3;0.868803
;Th;ThO2;0.878809
;Ti;TiO2;0.599508
Ti;Ti;Ti2O3;0.666211
;Tm;Tm2O3;0.875609
;U;UO2;0.881498
;U1;U3O8;0.848002
;V;V2O5;0.560166
;W;WO3;0.793
;Y;Y2O3;0.78744
;Yb;Yb2O3;0.878201
;Zn;ZnO;0.803397
;Zr;ZrO2;0.740309
